DATAFLOW,LAST UPDATE,freq,unit,operator,procstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,DK,2018,99,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,DK,2019,104,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,DK,2020,169,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2017,10,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2018,16,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2019,16,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2020,18,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EE,2021,24,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2012,7,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2013,16,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2014,27,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2015,42,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2016,69,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2017,34,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2018,47,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2019,52,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,EL,2020,40,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2012,127,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2013,49,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2014,67,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2015,72,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2016,92,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2017,137,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2018,109,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2019,137,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2020,163,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ES,2021,230,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2012,68,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2015,13,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2016,11,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2017,15,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2019,22,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2020,33,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,FI,2021,37,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2015,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2016,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2017,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2018,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2019,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HR,2021,,c
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,HU,2021,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2013,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2014,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2015,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2016,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2017,2,
