geo,year,Acidified Milk,Bovine Meat,Buffalos Milk,Butter,Cheese,Chicken Meat,Cows Milk,Cream,Drinking Milk,Eggs for consumption,Ewes Milk,Goat Meat,Goats Milk,Honey,Horses-Asses-Mules-Hinnies Meat,Meat of Livestock,Other Dairy Product,Other Meat,Pig Meat,Poultry Meat,Sheep Meat,Total Raw Milk,Cluster
CY,2019,476.0,0.0,0.0,0.0,357.0,0.0,2165.0,0.0,1429.0,0.17967715,149.0,0.0,1395.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4763.0,0
CY,2020,440.0,0.0,0.0,0.0,350.0,0.0,3218.0,0.0,1320.0,0.1324804499999999,180.0,0.0,1327.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4401.0,0
CY,2012,66.0,0.0,0.0,0.0,670.0,0.0,2894.0,0.0,504.0,0.1368095,109.0,0.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4106.0,0
CY,2021,0.0,0.0,0.0,0.0,0.0,0.0,2785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CZ,2012,83.0,9268.0,0.0,1.0,64.0,0.0,30680.0,3.0,835.0,0.1520225,119.0,16.0,250.0,15.0,0.0,10097.0,39.0,1.0,123.0,161.0,529.0,31049.0,0
CZ,2013,186.0,9460.0,0.0,1.0,69.0,0.0,32206.0,4.0,65.0,0.1760618,30.0,20.0,139.0,17.0,0.0,10329.0,12.0,2.0,132.0,163.0,552.0,32374.0,0
CZ,2014,98.0,5841.0,0.0,3.0,51.0,0.0,29908.0,37.0,46.0,0.1148,45.0,23.0,105.0,0.0,1.0,6674.0,21.0,2.0,236.0,121.0,450.0,30058.0,0
CZ,2015,107.0,5938.0,0.0,2.0,122.0,0.0,32607.0,41.0,193.0,0.16831,62.0,21.0,89.0,0.0,0.0,6719.0,31.0,0.0,111.0,117.0,532.0,32759.0,0
CZ,2016,87.0,6063.0,0.0,2.0,131.0,0.0,32754.0,39.0,205.0,0.167343,66.0,18.0,96.0,2.0,0.0,6752.0,40.0,1.0,130.0,113.0,428.0,32916.0,0
CZ,2017,115.0,6027.0,0.0,3.0,126.0,0.0,32207.0,19.0,251.0,0.1830775,54.0,19.0,113.0,1.0,0.0,6697.0,38.0,3.0,123.0,112.0,412.0,32375.0,0
CZ,2018,105.0,6547.0,0.0,4.0,117.0,0.0,33309.0,20.0,313.0,0.17032755,21.0,19.0,104.0,4.0,0.0,7291.0,38.0,0.0,157.0,167.0,400.0,33433.0,0
CZ,2019,104.0,7095.0,0.0,3.0,116.0,0.0,33459.0,6.0,316.0,0.2328375,10.0,24.0,109.0,12.0,0.0,7867.0,34.0,0.0,153.0,197.0,398.0,33578.0,0
CZ,2020,111.0,7441.0,0.0,3.0,125.0,0.0,32035.0,4.0,355.0,0.1852615,11.0,26.0,121.0,3.0,0.0,8197.0,36.0,0.0,160.0,191.0,379.0,32167.0,0
CZ,2021,90.0,8224.0,0.0,5.0,88.0,0.0,32361.0,3.0,297.0,0.266701,35.0,20.0,151.0,4.0,0.0,0.0,53.0,0.0,183.0,196.0,294.0,32547.0,0
DE,2012,0.0,0.0,0.0,13707.0,27353.0,0.0,1266219.0,0.0,254792.0,102.208591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670927.0,1
DE,2013,0.0,0.0,0.0,12853.0,33777.0,0.0,0.0,0.0,250559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682000.0,1
DE,2014,0.0,0.0,0.0,13949.0,34262.0,0.0,0.0,0.0,286700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708055.0,1
DE,2015,0.0,0.0,0.0,13930.0,38941.0,0.0,0.0,0.0,297228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736065.0,1
DE,2016,0.0,0.0,0.0,13791.0,42281.0,0.0,0.0,0.0,334443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794717.0,1
DE,2017,0.0,0.0,0.0,15852.0,46799.0,0.0,0.0,0.0,354246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939080.0,1
DE,2018,0.0,0.0,0.0,15805.0,52506.0,0.0,0.0,0.0,368560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117821.0,1
DE,2019,0.0,0.0,0.0,13887.0,56115.0,0.0,0.0,0.0,392526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184742.0,1
DE,2020,0.0,0.0,0.0,14639.0,64733.0,0.0,0.0,0.0,447365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234238.0,1
DE,2021,0.0,0.0,0.0,14723.0,67946.0,0.0,0.0,0.0,463260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271853.0,1
DK,2012,20000.0,5956.0,0.0,2989.0,3312.0,0.0,479100.0,4500.0,170834.0,8.5184,0.0,0.0,0.0,0.0,0.0,14500.0,0.0,0.0,8544.0,0.0,0.0,479100.0,1
DK,2013,20403.0,6226.0,0.0,3722.0,7652.0,0.0,481670.0,4833.0,171530.0,8.75016,0.0,0.0,0.0,0.0,0.0,14229.0,0.0,0.0,8003.0,0.0,0.0,481670.0,1
DK,2015,20380.0,6160.0,0.0,5018.0,5544.0,0.0,487100.0,20380.0,150844.0,9.804982399999998,0.0,0.0,0.0,0.0,0.0,14305.0,0.0,0.0,9020.0,0.0,0.0,487100.0,1
DK,2016,20972.0,5175.0,0.0,7300.0,6700.0,0.0,483350.0,5870.0,147607.0,11.6695624,0.0,0.0,0.0,0.0,0.0,16818.0,0.0,0.0,9130.0,0.0,0.0,483350.0,1
DK,2017,21900.0,5502.0,0.0,8055.0,7900.0,0.0,516131.0,6300.0,145200.0,13.493166399999998,0.0,0.0,0.0,0.0,0.0,16254.0,0.0,0.0,11316.0,0.0,0.0,516131.0,1
DK,2018,24800.0,5764.0,0.0,13400.0,9800.0,0.0,594000.0,8700.0,148800.0,15.397476,0.0,0.0,0.0,0.0,0.0,6643.0,0.0,0.0,10490.0,0.0,0.0,594000.0,1
DK,2019,29300.0,6643.0,0.0,14500.0,12300.0,0.0,689600.0,8000.0,164300.0,17.5137704,0.0,0.0,0.0,0.0,0.0,17835.0,0.0,0.0,11008.0,0.0,0.0,689600.0,1
DK,2020,32800.0,6827.0,0.0,12300.0,15700.0,0.0,708400.0,8500.0,166000.0,17.78625,0.0,0.0,0.0,0.0,0.0,18224.0,0.0,0.0,10810.0,0.0,0.0,708400.0,1
DK,2014,31400.0,7414.0,0.0,0.0,0.0,0.0,0.0,7800.0,163700.0,18.722184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727716.0,1
EE,2012,47.0,1083.0,0.0,0.0,21.0,3.0,12174.0,1.0,0.0,0.0687027,0.0,3.0,94.0,22.0,2.0,1400.0,81.0,1.0,64.0,4.0,246.0,12268.0,0
EE,2013,41.0,1346.0,0.0,1.0,23.0,0.0,10180.0,4.0,186.0,0.07927165,0.0,3.0,85.0,20.0,3.0,1634.0,2.0,2.0,33.0,9.0,243.0,10266.0,0
EE,2014,53.0,1516.0,0.0,1.0,91.0,0.0,9280.0,8.0,528.0,0.12691565,0.0,7.0,116.0,45.0,10.0,1804.0,55.0,4.0,50.0,6.0,207.0,9396.0,0
EE,2015,189.0,1945.0,0.0,1.0,42.0,0.0,8641.0,10.0,277.0,0.12281455,0.0,4.0,124.0,39.0,7.0,2221.0,53.0,3.0,26.0,12.0,230.0,8765.0,0
EE,2016,72.0,1853.0,0.0,2.0,141.0,0.0,10535.0,12.0,843.0,0.14040195,0.0,3.0,115.0,43.0,5.0,2209.0,117.0,5.0,60.0,14.0,270.0,10650.0,0
EE,2017,88.0,2523.0,0.0,2.0,313.0,0.0,7026.0,17.0,999.0,0.1708501,0.0,3.0,160.0,69.0,11.0,2878.0,820.0,4.0,51.0,29.0,272.0,7186.0,0
EE,2018,88.0,3071.0,0.0,0.0,316.0,0.0,7218.0,18.0,1122.0,0.2144419,0.0,4.0,168.0,69.0,6.0,3404.0,957.0,1.0,38.0,35.0,255.0,7386.0,0
EE,2019,91.0,2273.0,0.0,0.0,333.0,0.0,8098.0,23.0,1257.0,0.2907071,0.0,4.0,113.0,51.0,9.0,2636.0,1560.0,1.0,42.0,21.0,272.0,8211.0,0
EE,2020,125.0,4714.0,0.0,4.0,330.0,0.0,8797.0,12.0,701.0,0.27142375,0.0,3.0,82.0,59.0,3.0,5024.0,1319.0,1.0,38.0,14.0,244.0,8879.0,0
EE,2021,97.0,3323.0,0.0,5.0,274.0,0.0,8909.0,22.0,0.0,0.2839375,0.0,2.0,133.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,279.0,9042.0,0
EL,2012,2338.0,0.0,0.0,9.0,3445.0,0.0,0.0,75.0,9440.0,1.28505925,0.0,0.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0,0.0,0.0,22606.0,0
EL,2013,820.0,0.0,0.0,4.0,2618.0,0.0,0.0,150.0,8759.0,0.40799665,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,27383.0,0
EL,2014,1151.0,0.0,0.0,5.0,3583.0,0.0,0.0,110.0,6960.0,0.6814269000000001,0.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,34812.0,0
EL,2015,1176.0,0.0,0.0,65.0,5884.0,0.0,0.0,121.0,14763.0,0.65821875,0.0,0.0,0.0,0.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,56476.0,0
EL,2016,611.0,0.0,0.0,51.0,7950.0,0.0,0.0,132.0,9321.0,0.6570122999999999,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,41578.0,0
EL,2017,985.0,0.0,0.0,44.0,9652.0,0.0,0.0,130.0,10576.0,0.7195448000000001,0.0,0.0,0.0,0.0,0.0,801.0,0.0,0.0,0.0,0.0,0.0,57289.0,0
EL,2018,996.0,0.0,0.0,45.0,9635.0,0.0,0.0,132.0,10823.0,0.7769923,0.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,0.0,0.0,0.0,75722.0,0
EL,2019,1042.0,0.0,0.0,45.0,9520.0,0.0,0.0,98.0,10794.0,0.86967025,0.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,104938.0,0
EL,2020,802.0,0.0,0.0,41.0,7340.0,0.0,0.0,86.0,9080.0,0.9604244,0.0,0.0,0.0,0.0,0.0,925.0,0.0,0.0,0.0,0.0,0.0,130887.0,0
ES,2012,435.0,16457.0,0.0,10.0,388.0,1634.0,11333.0,4.0,2311.0,0.5580982,1056.0,545.0,6838.0,599.0,307.0,26661.0,104.0,0.0,786.0,579.0,7987.0,19227.0,0
ES,2013,466.0,14240.0,0.0,786.0,678.0,0.0,12638.0,5.0,1071.0,0.8796030000000001,1111.0,507.0,2661.0,708.0,463.0,24250.0,253.0,0.0,911.0,778.0,7351.0,16410.0,0
ES,2014,588.0,15090.0,0.0,4.0,824.0,0.0,11593.0,5.0,2151.0,0.80990875,1268.0,481.0,6896.0,701.0,500.0,24601.0,27.0,0.0,916.0,854.0,6760.0,19757.0,0
ES,2015,1142.0,18072.0,0.0,0.0,715.0,0.0,13002.0,6.0,3531.0,2.4146173,1094.0,520.0,9988.0,912.0,657.0,28849.0,25.0,0.0,604.0,653.0,8344.0,24087.0,0
ES,2016,2775.0,15911.0,0.0,10.0,617.0,0.0,15146.0,7.0,11435.0,2.3169198,754.0,411.0,9227.0,870.0,409.0,26487.0,110.0,0.0,939.0,944.0,7873.0,25129.0,0
ES,2017,2328.0,16641.0,0.0,9.0,559.0,0.0,18672.0,11.0,17233.0,3.8070136,1535.0,311.0,8270.0,896.0,392.0,26417.0,150.0,0.0,732.0,1238.0,7103.0,28476.0,0
ES,2018,2832.0,23004.0,0.0,14.0,729.0,0.0,27837.0,9.0,21682.0,6.2204742,2917.0,491.0,11251.0,1223.0,512.0,35803.0,219.0,0.0,1939.0,1289.0,8569.0,42006.0,0
ES,2019,3094.0,26091.0,0.0,15.0,739.0,0.0,40450.0,14.0,26344.0,7.5052119,3338.0,482.0,12376.0,1133.0,466.0,41265.0,217.0,2.0,2813.0,1921.0,9490.0,56164.0,0
ES,2020,3236.0,23326.0,0.0,19.0,752.0,0.0,48545.0,15.0,26898.0,9.17643645,5583.0,462.0,14445.0,1205.0,441.0,38668.0,217.0,1.0,3561.0,2775.0,8103.0,68574.0,0
ES,2021,2852.0,28249.0,0.0,21.0,1996.0,0.0,53467.0,95.0,27515.0,10.7692375,7055.0,550.0,16682.0,1206.0,0.0,0.0,700.0,0.0,4217.0,1663.0,9325.0,77203.0,0
FI,2012,0.0,1710.0,0.0,0.0,0.0,0.0,37569.0,0.0,16862.0,2.1126575,0.0,0.0,0.0,0.0,0.0,2260.0,0.0,0.0,450.0,30.0,100.0,37569.0,0
FI,2013,0.0,1960.0,0.0,0.0,0.0,0.0,42450.0,0.0,0.0,2.352735,0.0,0.0,0.0,0.0,0.0,2870.0,0.0,0.0,710.0,80.0,170.0,42450.0,0
FI,2014,0.0,2130.0,0.0,0.0,0.0,0.0,48583.0,0.0,0.0,2.6088425,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,670.0,210.0,220.0,48583.0,0
FI,2015,0.0,2950.0,0.0,0.0,0.0,0.0,55800.0,0.0,0.0,2.77688665,0.0,0.0,0.0,0.0,0.0,4150.0,0.0,0.0,720.0,180.0,270.0,55800.0,0
FI,2016,0.0,2910.0,0.0,0.0,0.0,0.0,56786.0,0.0,0.0,3.2365083500000003,0.0,0.0,0.0,0.0,0.0,4360.0,0.0,0.0,950.0,0.0,320.0,56786.0,0
FI,2017,0.0,2620.0,0.0,0.0,0.0,0.0,64460.0,0.0,0.0,3.89418585,0.0,0.0,0.0,0.0,0.0,3780.0,0.0,0.0,840.0,0.0,320.0,64460.0,0
FI,2018,0.0,2610.0,0.0,0.0,0.0,0.0,71028.0,0.0,0.0,4.33119335,0.0,0.0,0.0,0.0,0.0,3710.0,0.0,0.0,740.0,0.0,360.0,71028.0,0
