operator,procstat,geo,TIME_PERIOD,OBS_VALUE
EXP,REG_END,LU,2015,0.0
EXP,REG_END,LU,2016,0.0
EXP,REG_END,LU,2017,0.0
EXP,REG_END,LU,2018,0.0
EXP,REG_END,LU,2019,0.0
EXP,REG_END,LU,2020,0.0
EXP,REG_END,LU,2021,0.0
EXP,REG_END,LU,2022,0.0
EXP,REG_END,LV,2012,0.0
EXP,REG_END,LV,2013,0.0
EXP,REG_END,LV,2014,1.0
EXP,REG_END,LV,2015,1.0
EXP,REG_END,LV,2016,1.0
EXP,REG_END,LV,2017,0.0
EXP,REG_END,LV,2019,0.0
EXP,REG_END,LV,2022,0.0
EXP,REG_END,ME,2021,0.0
EXP,REG_END,ME,2022,0.0
EXP,REG_END,MK,2013,4.0
EXP,REG_END,MK,2014,0.0
EXP,REG_END,MK,2015,0.0
EXP,REG_END,MK,2016,0.0
EXP,REG_END,MK,2017,4.0
EXP,REG_END,MK,2018,5.0
EXP,REG_END,MK,2019,7.0
EXP,REG_END,MK,2020,9.0
EXP,REG_END,MK,2021,1.0
EXP,REG_END,MK,2022,1.0
EXP,REG_END,MT,2012,0.0
EXP,REG_END,MT,2013,0.0
EXP,REG_END,MT,2014,0.0
EXP,REG_END,MT,2015,0.0
EXP,REG_END,MT,2016,0.0
EXP,REG_END,MT,2017,0.0
EXP,REG_END,MT,2018,0.0
EXP,REG_END,MT,2019,0.0
EXP,REG_END,MT,2020,0.0
EXP,REG_END,MT,2021,0.0
EXP,REG_END,MT,2022,0.0
EXP,REG_END,NL,2014,70.0
EXP,REG_END,NL,2015,73.0
EXP,REG_END,NL,2016,81.0
EXP,REG_END,NL,2017,87.0
EXP,REG_END,NL,2018,116.0
EXP,REG_END,NL,2019,120.0
EXP,REG_END,NL,2020,132.0
EXP,REG_END,NL,2021,146.0
EXP,REG_END,NL,2022,146.0
EXP,REG_END,NO,2012,0.0
EXP,REG_END,NO,2013,0.0
EXP,REG_END,NO,2014,2.0
EXP,REG_END,NO,2015,2.0
EXP,REG_END,NO,2016,1.0
EXP,REG_END,NO,2017,0.0
EXP,REG_END,NO,2018,0.0
EXP,REG_END,NO,2019,0.0
EXP,REG_END,NO,2020,0.0
EXP,REG_END,NO,2022,1.06
EXP,REG_END,PL,2012,33.0
EXP,REG_END,PL,2013,50.0
EXP,REG_END,PL,2014,71.0
EXP,REG_END,PL,2015,107.0
EXP,REG_END,PL,2016,180.0
EXP,REG_END,PL,2017,216.0
EXP,REG_END,PL,2018,249.0
EXP,REG_END,PL,2019,256.0
EXP,REG_END,PL,2020,319.0
EXP,REG_END,PL,2022,43.03
EXP,REG_END,PT,2014,0.0
EXP,REG_END,PT,2015,6.0
EXP,REG_END,PT,2016,1.0
EXP,REG_END,PT,2017,1.0
