geo,TIME_PERIOD,procstat,EXP,IMP,PRC,PRD_AGRI
DK,2017,REG_END,90.0,94.0,1018.0,3631.0
DK,2018,REG_END,99.0,94.0,963.0,3941.0
DK,2019,REG_END,104.0,101.0,1092.0,4099.0
DK,2020,REG_END,169.0,149.0,1162.0,4186.0
DK,2020,REG_NEW,0.0,0.0,0.0,403.0
DK,2020,REG_WDN,0.0,0.0,0.0,316.0
EE,2012,REG_END,0.0,5.0,72.0,1478.0
EE,2013,REG_END,0.0,10.0,84.0,1553.0
EE,2013,REG_NEW,0.0,0.0,0.0,119.0
EE,2013,REG_WDN,0.0,0.0,0.0,44.0
EE,2014,REG_END,0.0,9.0,109.0,1542.0
EE,2015,REG_END,0.0,16.0,118.0,1629.0
EE,2016,REG_END,0.0,26.0,135.0,1753.0
EE,2017,REG_END,10.0,33.0,169.0,1888.0
EE,2018,REG_END,16.0,33.0,171.0,1948.0
EE,2019,REG_END,16.0,38.0,173.0,2060.0
EE,2020,REG_END,18.0,38.0,176.0,2050.0
EE,2021,REG_END,24.0,47.0,195.0,2043.0
EL,2012,REG_END,7.0,4.0,1564.0,23448.0
EL,2013,REG_END,16.0,3.0,1555.0,21986.0
EL,2014,REG_END,27.0,7.0,1635.0,20186.0
EL,2015,REG_END,42.0,14.0,1526.0,19604.0
EL,2016,REG_END,69.0,20.0,1495.0,20197.0
EL,2017,REG_END,34.0,30.0,1586.0,27808.0
EL,2018,REG_END,47.0,33.0,1542.0,29594.0
EL,2019,REG_END,52.0,44.0,1642.0,30124.0
EL,2020,REG_END,40.0,45.0,1653.0,29869.0
ES,2012,REG_END,127.0,111.0,2790.0,30462.0
ES,2013,REG_END,49.0,112.0,2842.0,30502.0
ES,2014,REG_END,67.0,127.0,3082.0,30602.0
ES,2015,REG_END,72.0,166.0,3492.0,34673.0
ES,2016,REG_END,92.0,205.0,3810.0,36207.0
ES,2017,REG_END,137.0,263.0,4297.0,37712.0
ES,2018,REG_END,109.0,320.0,4627.0,39505.0
ES,2019,REG_END,137.0,364.0,5230.0,41838.0
ES,2020,REG_END,163.0,435.0,5561.0,44493.0
ES,2021,REG_END,230.0,472.0,5921.0,52861.0
FI,2012,REG_END,68.0,52.0,455.0,4316.0
FI,2013,REG_END,0.0,51.0,665.0,4284.0
FI,2013,REG_NEW,0.0,0.0,0.0,155.0
FI,2013,REG_WDN,0.0,0.0,0.0,187.0
FI,2014,REG_END,0.0,111.0,679.0,4247.0
FI,2015,REG_END,13.0,79.0,453.0,4328.0
FI,2016,REG_END,11.0,78.0,535.0,4493.0
FI,2017,REG_END,15.0,59.0,360.0,4665.0
FI,2019,REG_END,22.0,72.0,430.0,5129.0
FI,2020,REG_END,33.0,77.0,523.0,5102.0
FI,2021,REG_END,37.0,84.0,463.0,5007.0
FR,2012,REG_END,0.0,137.0,8957.0,24425.0
FR,2013,REG_END,0.0,137.0,8957.0,25467.0
FR,2014,REG_END,0.0,148.0,11198.0,26466.0
FR,2015,REG_END,0.0,273.0,11842.0,28884.0
FR,2016,REG_END,0.0,316.0,12826.0,32266.0
FR,2017,REG_END,0.0,418.0,14859.0,36691.0
HR,2012,REG_END,0.0,30.0,154.0,1413.0
HR,2013,REG_END,0.0,34.0,181.0,1608.0
HR,2013,REG_NEW,0.0,4.0,30.0,294.0
HR,2013,REG_WDN,0.0,0.0,3.0,99.0
HR,2014,REG_END,0.0,12.0,237.0,2043.0
HR,2014,REG_NEW,0.0,5.0,67.0,539.0
HR,2014,REG_WDN,0.0,27.0,11.0,104.0
HR,2015,REG_END,1.0,19.0,320.0,3061.0
HR,2015,REG_NEW,1.0,11.0,102.0,1181.0
HR,2015,REG_WDN,0.0,4.0,19.0,163.0
HR,2016,REG_END,1.0,17.0,312.0,3546.0
HR,2016,REG_NEW,1.0,6.0,30.0,581.0
HR,2016,REG_WDN,1.0,8.0,38.0,96.0
HR,2017,REG_END,1.0,23.0,357.0,4023.0
HR,2017,REG_NEW,0.0,15.0,78.0,702.0
HR,2017,REG_WDN,0.0,9.0,33.0,225.0
HR,2018,REG_END,3.0,14.0,368.0,4374.0
HR,2018,REG_NEW,2.0,3.0,28.0,636.0
HR,2018,REG_WDN,0.0,12.0,17.0,285.0
HR,2019,REG_END,3.0,22.0,395.0,5153.0
HR,2019,REG_NEW,0.0,10.0,43.0,850.0
HR,2019,REG_WDN,0.0,2.0,16.0,71.0
HR,2021,REG_END,0.0,12.0,378.0,6024.0
HU,2012,REG_END,0.0,5.0,414.0,1560.0
HU,2013,REG_END,0.0,15.0,371.0,1682.0
HU,2014,REG_END,0.0,16.0,254.0,1672.0
HU,2015,REG_END,0.0,21.0,410.0,1971.0
HU,2016,REG_END,0.0,34.0,442.0,3414.0
HU,2017,REG_END,0.0,36.0,492.0,3642.0
HU,2018,REG_END,0.0,42.0,515.0,3929.0
HU,2019,REG_END,0.0,44.0,523.0,5136.0
HU,2020,REG_END,0.0,57.0,521.0,5128.0
HU,2021,REG_END,0.0,61.0,489.0,5129.0
IE,2013,REG_END,2.0,32.0,193.0,1351.0
IE,2014,REG_END,3.0,10.0,243.0,1275.0
IE,2015,REG_END,4.0,21.0,255.0,1710.0
IE,2016,REG_END,2.0,23.0,275.0,1765.0
IE,2017,REG_END,2.0,26.0,307.0,1725.0
IE,2017,REG_NEW,0.0,7.0,55.0,35.0
IE,2017,REG_WDN,0.0,4.0,23.0,75.0
IE,2020,REG_END,27.0,43.0,180.0,1777.0
IE,2021,REG_END,58.0,156.0,215.0,1914.0
IT,2012,REG_END,0.0,5.0,5873.0,43831.0
IT,2013,REG_END,0.0,260.0,10860.0,45965.0
IT,2014,REG_END,0.0,259.0,12641.0,48662.0
IT,2015,REG_END,621.0,310.0,14658.0,52609.0
IT,2016,REG_END,518.0,363.0,16578.0,64227.0
IT,2017,REG_END,470.0,411.0,18497.0,66788.0
IT,2018,REG_END,582.0,472.0,20087.0,69335.0
IT,2019,REG_END,741.0,527.0,21940.0,70561.0
